"ID","MODULE","ER_ROW","CHILD_FK","PARENT_PK","SHEET_LABEL_COL1","OLD_VALUE","NEO_VALUE","STATUS","NOTES"
"PM:ER#26","PM","26","QMEL","EQUI","QMEL","QMEL(FK)->EQUI(PK) card=N:1 join=QMEL.EQUNR = EQUI.EQUNR","edge EQUI>QMEL kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/EQUI/ + /neo/tables/QMEL/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#27","PM","27","QMEL","IFLOT","QMEL","QMEL(FK)->IFLOT(PK) card=N:1 join=QMEL.TPLNR = IFLOT.TPLNR","edge IFLOT>QMEL kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/IFLOT/ + /neo/tables/QMEL/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#28","PM","28","QMEL","JSTO","QMEL","QMEL(FK)->JSTO(PK) card=1:1 join=QMEL.OBJNR = JSTO.OBJNR","edge JSTO>QMEL kind=1-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/JSTO/ + /neo/tables/QMEL/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#29","PM","29","QMEL","TQ80","QMEL","QMEL(FK)->TQ80(PK) card=N:1 join=QMEL.QMART = TQ80.QMART","edge TQ80>QMEL kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/TQ80/ + /neo/tables/QMEL/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#30","PM","30","TQ80","T352","TQ80","TQ80(FK)->T352(PK) card=N:1 join=TQ80.RBNR = T352.RBNR","edge T352>TQ80 kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/T352/ + /neo/tables/TQ80/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#31","PM","31","TQ80","T003O","TQ80","TQ80(FK)->T003O(PK) card=N:1 join=TQ80.AUART = T003O.AUART","edge T003O>TQ80 kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/T003O/ + /neo/tables/TQ80/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#32","PM","32","AFKO","AUFK","AFKO","AFKO(FK)->AUFK(PK) card=1:1 join=AFKO.AUFNR = AUFK.AUFNR","edge AUFK>AFKO kind=1-1 mods=PP-PI+PM says=2 contested=false","TRANSFORMED","DUPLICATE: the ER map states 2 rows for the same AUFK>AFKO pair; NEO collapses them into ONE edge with 2 says; rendered: /neo/tables/AUFK/ + /neo/tables/AFKO/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#33","PM","33","AFPO","AUFK","AFPO","AFPO(FK)->AUFK(PK) card=N:1 join=AFPO.AUFNR = AUFK.AUFNR","edge AUFK>AFPO kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/AUFK/ + /neo/tables/AFPO/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#34","PM","34","AFIH","AUFK","AFIH","AFIH(FK)->AUFK(PK) card=1:1 join=AFIH.AUFNR = AUFK.AUFNR","edge AUFK>AFIH kind=1-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/AUFK/ + /neo/tables/AFIH/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#35","PM","35","AFVC","AFKO","AFVC","AFVC(FK)->AFKO(PK) card=N:1 join=AFVC.AUFPL = AFKO.AUFPL","edge AFKO>AFVC kind=n-1 mods=PM+PP-PI says=2 contested=false","TRANSFORMED","DUPLICATE: the ER map states 2 rows for the same AFKO>AFVC pair; NEO collapses them into ONE edge with 2 says; rendered: /neo/tables/AFKO/ + /neo/tables/AFVC/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#36","PM","36","AFVC","CRHD","AFVC","AFVC(FK)->CRHD(PK) card=N:1 join=AFVC.ARBID = CRHD.OBJID","edge CRHD>AFVC kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/CRHD/ + /neo/tables/AFVC/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#37","PM","37","AFIH","EQUI","AFIH","AFIH(FK)->EQUI(PK) card=N:1 join=AFIH.EQUNR = EQUI.EQUNR","edge EQUI>AFIH kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/EQUI/ + /neo/tables/AFIH/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#38","PM","38","AFIH","IFLOT","AFIH","AFIH(FK)->IFLOT(PK) card=N:1 join=AFIH.TPLNR = IFLOT.TPLNR","edge IFLOT>AFIH kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/IFLOT/ + /neo/tables/AFIH/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#39","PM","39","AUFK","JSTO","AUFK","AUFK(FK)->JSTO(PK) card=1:1 join=AUFK.OBJNR = JSTO.OBJNR","edge JSTO>AUFK kind=1-1 mods=PM says=1 contested=true","TRANSFORMED","CONTESTED: the opposite edge AUFK>JSTO is also recorded; NEO keeps both and flags it; rendered: /neo/tables/JSTO/ + /neo/tables/AUFK/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#40","PM","40","AUFK","T003O","AUFK","AUFK(FK)->T003O(PK) card=N:1 join=AUFK.AUART = T003O.AUART","edge T003O>AUFK kind=n-1 mods=PM says=1 contested=false","TRANSFORMED","DUPLICATE: the ER map states 2 rows for the same T003O>AUFK pair; NEO collapses them into ONE edge with 1 says; rendered: /neo/tables/T003O/ + /neo/tables/AUFK/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#41","PM","41","JEST","JSTO","JEST","JEST(FK)->JSTO(PK) card=N:1 join=JEST.OBJNR = JSTO.OBJNR","edge JSTO>JEST kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/JSTO/ + /neo/tables/JEST/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#42","PM","42","JSTO","TJ30","JSTO","JSTO(FK)->TJ30(PK) card=N:1 join=JSTO.STSMA = TJ30.STSMA","edge TJ30>JSTO kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/TJ30/ + /neo/tables/JSTO/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#43","PM","43","T003O","TJ30","T003O","T003O(FK)->TJ30(PK) card=N:1 join=T003O.STSMA = TJ30.STSMA","edge TJ30>T003O kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/TJ30/ + /neo/tables/T003O/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#44","PM","44","RESB","AUFK","RESB","RESB(FK)->AUFK(PK) card=N:1 join=RESB.AUFNR = AUFK.AUFNR","edge AUFK>RESB kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/AUFK/ + /neo/tables/RESB/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#45","PM","45","MSEG","MKPF","MSEG","MSEG(FK)->MKPF(PK) card=N:1 join=MSEG.MBLNR = MKPF.MBLNR","edge MKPF>MSEG kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/MKPF/ + /neo/tables/MSEG/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#46","PM","46","MSEG","AUFK","MSEG","MSEG(FK)->AUFK(PK) card=N:1 join=MSEG.AUFNR = AUFK.AUFNR","edge AUFK>MSEG kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/AUFK/ + /neo/tables/MSEG/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#47","PM","47","EBKN","EBAN","EBKN","EBKN(FK)->EBAN(PK) card=N:1 join=EBKN.BANFN = EBAN.BANFN","edge EBAN>EBKN kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/EBAN/ + /neo/tables/EBKN/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#48","PM","48","EBKN","AUFK","EBKN","EBKN(FK)->AUFK(PK) card=N:1 join=EBKN.AUFNR = AUFK.AUFNR","edge AUFK>EBKN kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/AUFK/ + /neo/tables/EBKN/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#49","PM","49","EBAN","BUT000","EBAN","EBAN(FK)->BUT000(PK) card=N:1 join=EBAN.FLIEF = BUT000.PARTNER","edge BUT000>EBAN kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/BUT000/ + /neo/tables/EBAN/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#50","PM","50","COSP","AUFK","COSP","COSP(FK)->AUFK(PK) card=N:1 join=COSP.OBJNR = AUFK.OBJNR","edge AUFK>COSP kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/AUFK/ + /neo/tables/COSP/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#51","PM","51","COSS","AUFK","COSS","COSS(FK)->AUFK(PK) card=N:1 join=COSS.OBJNR = AUFK.OBJNR","edge AUFK>COSS kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/AUFK/ + /neo/tables/COSS/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#52","PM","52","COBRA","AUFK","COBRA","COBRA(FK)->AUFK(PK) card=1:1 join=COBRA.OBJNR = AUFK.OBJNR","edge AUFK>COBRA kind=1-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/AUFK/ + /neo/tables/COBRA/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#53","PM","53","COBRB","COBRA","COBRB","COBRB(FK)->COBRA(PK) card=N:1 join=COBRB.OBJNR = COBRA.OBJNR","edge COBRA>COBRB kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/COBRA/ + /neo/tables/COBRB/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#54","PM","54","MPOS","MPLA","MPOS","MPOS(FK)->MPLA(PK) card=N:1 join=MPOS.WARPL = MPLA.WARPL","edge MPLA>MPOS kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/MPLA/ + /neo/tables/MPOS/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#55","PM","55","MPOS","EQUI","MPOS","MPOS(FK)->EQUI(PK) card=N:1 join=MPOS.EQUNR = EQUI.EQUNR","edge EQUI>MPOS kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/EQUI/ + /neo/tables/MPOS/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#56","PM","56","MPOS","PLKO","MPOS","MPOS(FK)->PLKO(PK) card=N:1 join=MPOS.PLNNR = PLKO.PLNNR","edge PLKO>MPOS kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/PLKO/ + /neo/tables/MPOS/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#57","PM","57","MHIO","MPLA","MHIO","MHIO(FK)->MPLA(PK) card=N:1 join=MHIO.WARPL = MPLA.WARPL","edge MPLA>MHIO kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/MPLA/ + /neo/tables/MHIO/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#58","PM","58","MHIO","AUFK","MHIO","MHIO(FK)->AUFK(PK) card=N:1 join=MHIO.AUFNR = AUFK.AUFNR","edge AUFK>MHIO kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/AUFK/ + /neo/tables/MHIO/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#59","PM","59","MHIS","MPLA","MHIS","MHIS(FK)->MPLA(PK) card=N:1 join=MHIS.WARPL = MPLA.WARPL","edge MPLA>MHIS kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/MPLA/ + /neo/tables/MHIS/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#60","PM","60","PLPO","PLKO","PLPO","PLPO(FK)->PLKO(PK) card=N:1 join=PLPO.PLNNR = PLKO.PLNNR","edge PLKO>PLPO kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/PLKO/ + /neo/tables/PLPO/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#61","PM","61","PLPO","CRHD","PLPO","PLPO(FK)->CRHD(PK) card=N:1 join=PLPO.ARBID = CRHD.OBJID","edge CRHD>PLPO kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/CRHD/ + /neo/tables/PLPO/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PP-PI:ER#1","PP-PI","1","MAKT","MARA","MAKT","MAKT(FK)->MARA(PK) card= join=FROM MAKT JOIN MARA ON MAKT.MATNR = MARA.MATNR","edge MARA>MAKT kind=unstated mods=PP-PI says=1 contested=false","EXACT","NO join fields: the PP-PI 'ER - Join Map' sheet has no FK/PK/cardinality columns at all — a SOURCE gap, not a NEO loss; rendered: /neo/tables/MARA/ + /neo/tables/MAKT/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PP-PI:ER#2","PP-PI","2","MARC","MARA","MARC","MARC(FK)->MARA(PK) card= join=FROM MARC JOIN MARA ON MARC.MATNR = MARA.MATNR","edge MARA>MARC kind=unstated mods=PP-PI says=1 contested=false","EXACT","NO join fields: the PP-PI 'ER - Join Map' sheet has no FK/PK/cardinality columns at all — a SOURCE gap, not a NEO loss; rendered: /neo/tables/MARA/ + /neo/tables/MARC/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PP-PI:ER#3","PP-PI","3","MARD","MARC","MARD","MARD(FK)->MARC(PK) card= join=FROM MARD JOIN MARC ON MARD.MATNR = MARC.MATNR AND MARD.WERKS = MARC.WERKS","edge MARC>MARD kind=unstated mods=PP-PI says=1 contested=false","EXACT","NO join fields: the PP-PI 'ER - Join Map' sheet has no FK/PK/cardinality columns at all — a SOURCE gap, not a NEO loss; rendered: /neo/tables/MARC/ + /neo/tables/MARD/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PP-PI:ER#4","PP-PI","4","MARM","MARA","MARM","MARM(FK)->MARA(PK) card= join=FROM MARM JOIN MARA ON MARM.MATNR = MARA.MATNR","edge MARA>MARM kind=unstated mods=PP-PI says=1 contested=false","EXACT","NO join fields: the PP-PI 'ER - Join Map' sheet has no FK/PK/cardinality columns at all — a SOURCE gap, not a NEO loss; rendered: /neo/tables/MARA/ + /neo/tables/MARM/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PP-PI:ER#5","PP-PI","5","MEAN","MARA","MEAN","MEAN(FK)->MARA(PK) card= join=FROM MEAN JOIN MARA ON MEAN.MATNR = MARA.MATNR","edge MARA>MEAN kind=unstated mods=PP-PI says=1 contested=false","EXACT","NO join fields: the PP-PI 'ER - Join Map' sheet has no FK/PK/cardinality columns at all — a SOURCE gap, not a NEO loss; rendered: /neo/tables/MARA/ + /neo/tables/MEAN/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PP-PI:ER#6","PP-PI","6","MBEW","MARA","MBEW","MBEW(FK)->MARA(PK) card= join=FROM MBEW JOIN MARA ON MBEW.MATNR = MARA.MATNR","edge MARA>MBEW kind=unstated mods=PP-PI says=1 contested=false","EXACT","NO join fields: the PP-PI 'ER - Join Map' sheet has no FK/PK/cardinality columns at all — a SOURCE gap, not a NEO loss; rendered: /neo/tables/MARA/ + /neo/tables/MBEW/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PP-PI:ER#7","PP-PI","7","MVKE","MARA","MVKE","MVKE(FK)->MARA(PK) card= join=FROM MVKE JOIN MARA ON MVKE.MATNR = MARA.MATNR","edge MARA>MVKE kind=unstated mods=PP-PI says=1 contested=false","EXACT","NO join fields: the PP-PI 'ER - Join Map' sheet has no FK/PK/cardinality columns at all — a SOURCE gap, not a NEO loss; rendered: /neo/tables/MARA/ + /neo/tables/MVKE/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PP-PI:ER#8","PP-PI","8","MLAN","MARA","MLAN","MLAN(FK)->MARA(PK) card= join=FROM MLAN JOIN MARA ON MLAN.MATNR = MARA.MATNR","edge MARA>MLAN kind=unstated mods=PP-PI says=1 contested=false","EXACT","NO join fields: the PP-PI 'ER - Join Map' sheet has no FK/PK/cardinality columns at all — a SOURCE gap, not a NEO loss; rendered: /neo/tables/MARA/ + /neo/tables/MLAN/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PP-PI:ER#9","PP-PI","9","MLGN","MARA","MLGN","MLGN(FK)->MARA(PK) card= join=FROM MLGN JOIN MARA ON MLGN.MATNR = MARA.MATNR","edge MARA>MLGN kind=unstated mods=PP-PI says=1 contested=false","EXACT","NO join fields: the PP-PI 'ER - Join Map' sheet has no FK/PK/cardinality columns at all — a SOURCE gap, not a NEO loss; rendered: /neo/tables/MARA/ + /neo/tables/MLGN/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
