"ID","TABLE","FIELD","OLD_VALUE","NEO_VALUE","STATUS","FLAGS","NOTES"
"AFFL.FLGAT","AFFL","FLGAT","PP-PI#6:key=-|dt=CHAR|len=1","key=-|dt=CHAR|len=1|mods=PP-PI","EXACT","—","table_fields old_union=4 neo=4"
"AFIH.AUFNR","AFIH","AUFNR","PM#7:key=PK/FK|dt=|len=","key=PK/FK|dt=|len=|mods=PM","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=6 neo=6; key=""PK/FK"": OLD /object/AFIH lists it as PK, /neo/tables/AFIH lists it as PK+FK, /neo/object/AFIH lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"AFIH.EQUNR","AFIH","EQUNR","PM#7:key=FK|dt=|len=","key=FK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"AFIH.TPLNR","AFIH","TPLNR","PM#7:key=FK|dt=|len=","key=FK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"AFIH.ILART","AFIH","ILART","PM#7:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"AFIH.PRIOK","AFIH","PRIOK","PM#7:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"AFIH.GEWRK","AFIH","GEWRK","PM#7:key=FK|dt=|len=","key=FK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"AFKO.AUFNR","AFKO","AUFNR","PM#7:key=PK/FK|dt=|len= ;; PP-PI#6:key=PK/FK|dt=CHAR|len=12","key=PK/FK|dt=CHAR|len=12|mods=PM+PP-PI","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=8 neo=8; documented by 2 dictionary rows, merged by mergedFields(); all stated attributes agree; key=""PK/FK"": OLD /object/AFKO lists it as PK, /neo/tables/AFKO lists it as PK+FK, /neo/object/AFKO lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"AFKO.AUFPL","AFKO","AUFPL","PM#7:key=PK|dt=|len= ;; PP-PI#6:key=PK|dt=NUMC|len=10","key=PK|dt=NUMC|len=10|mods=PM+PP-PI","EXACT","—","table_fields old_union=8 neo=8; documented by 2 dictionary rows, merged by mergedFields(); all stated attributes agree"
"AFKO.GLTRP","AFKO","GLTRP","PM#7:key=-|dt=|len= ;; PP-PI#6:key=-|dt=DATS|len=8","key=-|dt=DATS|len=8|mods=PM+PP-PI","EXACT","—","table_fields old_union=8 neo=8; documented by 2 dictionary rows, merged by mergedFields(); all stated attributes agree"
"AFKO.GSTRP","AFKO","GSTRP","PM#7:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=8 neo=8"
"AFKO.PLNBEZ","AFKO","PLNBEZ","PM#7:key=FK|dt=|len=","key=FK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=8 neo=8"
"AFKO.GAMNG","AFKO","GAMNG","PP-PI#6:key=-|dt=QUAN|len=13","key=-|dt=QUAN|len=13|mods=PP-PI","EXACT","—","table_fields old_union=8 neo=8"
"AFKO.GMEIN","AFKO","GMEIN","PP-PI#6:key=FK|dt=UNIT|len=3","key=FK|dt=UNIT|len=3|mods=PP-PI","EXACT","—","table_fields old_union=8 neo=8"
"AFKO.VERID","AFKO","VERID","PP-PI#6:key=FK|dt=CHAR|len=4","key=FK|dt=CHAR|len=4|mods=PP-PI","EXACT","—","table_fields old_union=8 neo=8"
"AFPO.AUFNR","AFPO","AUFNR","PM#7:key=PK|dt=|len= ;; PP-PI#6:key=PK|dt=CHAR|len=12","key=PK|dt=CHAR|len=12|mods=PM+PP-PI","EXACT","—","table_fields old_union=6 neo=6; documented by 2 dictionary rows, merged by mergedFields(); all stated attributes agree"
"AFPO.POSNR","AFPO","POSNR","PM#7:key=PK|dt=|len= ;; PP-PI#6:key=PK|dt=NUMC|len=6","key=PK|dt=NUMC|len=6|mods=PM+PP-PI","EXACT","—","table_fields old_union=6 neo=6; documented by 2 dictionary rows, merged by mergedFields(); all stated attributes agree"
"AFPO.MATNR","AFPO","MATNR","PM#7:key=FK|dt=|len= ;; PP-PI#6:key=FK|dt=CHAR|len=18->40","key=FK|dt=CHAR|len=18->40|mods=PM+PP-PI","EXACT","—","table_fields old_union=6 neo=6; documented by 2 dictionary rows, merged by mergedFields(); all stated attributes agree"
"AFPO.PSAMG","AFPO","PSAMG","PM#7:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"AFPO.PSMNG","AFPO","PSMNG","PP-PI#6:key=-|dt=QUAN|len=13","key=-|dt=QUAN|len=13|mods=PP-PI","EXACT","—","table_fields old_union=6 neo=6"
"AFPO.CHARG","AFPO","CHARG","PP-PI#6:key=-|dt=CHAR|len=10","key=-|dt=CHAR|len=10|mods=PP-PI","EXACT","—","table_fields old_union=6 neo=6"
"AFRU.RUECK","AFRU","RUECK","PP-PI#6:key=PK|dt=NUMC|len=10","key=PK|dt=NUMC|len=10|mods=PP-PI","EXACT","—","table_fields old_union=5 neo=5"
"AFRU.RMZHL","AFRU","RMZHL","PP-PI#6:key=PK|dt=NUMC|len=8","key=PK|dt=NUMC|len=8|mods=PP-PI","EXACT","—","table_fields old_union=5 neo=5"
"AFRU.AUFNR","AFRU","AUFNR","PP-PI#6:key=FK|dt=CHAR|len=12","key=FK|dt=CHAR|len=12|mods=PP-PI","EXACT","—","table_fields old_union=5 neo=5"
"AFRU.LMNGA","AFRU","LMNGA","PP-PI#6:key=-|dt=QUAN|len=13","key=-|dt=QUAN|len=13|mods=PP-PI","EXACT","—","table_fields old_union=5 neo=5"
"AFRU.XMNGA","AFRU","XMNGA","PP-PI#6:key=-|dt=QUAN|len=13","key=-|dt=QUAN|len=13|mods=PP-PI","EXACT","—","table_fields old_union=5 neo=5"
"AFVC.AUFPL","AFVC","AUFPL","PM#7:key=PK|dt=|len= ;; PP-PI#6:key=PK|dt=NUMC|len=10","key=PK|dt=NUMC|len=10|mods=PM+PP-PI","EXACT","—","table_fields old_union=6 neo=6; documented by 2 dictionary rows, merged by mergedFields(); all stated attributes agree"
"AFVC.APLZL","AFVC","APLZL","PM#7:key=PK|dt=|len= ;; PP-PI#6:key=PK|dt=NUMC|len=8","key=PK|dt=NUMC|len=8|mods=PM+PP-PI","EXACT","—","table_fields old_union=6 neo=6; documented by 2 dictionary rows, merged by mergedFields(); all stated attributes agree"
"AFVC.VORNR","AFVC","VORNR","PM#7:key=-|dt=|len= ;; PP-PI#6:key=-|dt=CHAR|len=4","key=-|dt=CHAR|len=4|mods=PM+PP-PI","EXACT","—","table_fields old_union=6 neo=6; documented by 2 dictionary rows, merged by mergedFields(); all stated attributes agree"
"AFVC.ARBID","AFVC","ARBID","PM#7:key=FK|dt=|len= ;; PP-PI#6:key=FK|dt=NUMC|len=8","key=FK|dt=NUMC|len=8|mods=PM+PP-PI","EXACT","—","table_fields old_union=6 neo=6; documented by 2 dictionary rows, merged by mergedFields(); all stated attributes agree"
"AFVC.STEUS","AFVC","STEUS","PM#7:key=-|dt=|len= ;; PP-PI#6:key=FK|dt=CHAR|len=4","key=FK|dt=CHAR|len=4|mods=PM+PP-PI","TRANSFORMED","MERGED_ATTR_OVERWRITE","table_fields old_union=6 neo=6; documented by 2 dictionary rows, merged by mergedFields(); key stated -/FK -> NEO kept ""FK"""
"AFVC.LTXA1","AFVC","LTXA1","PM#7:key=-|dt=|len= ;; PP-PI#6:key=-|dt=CHAR|len=40","key=-|dt=CHAR|len=40|mods=PM+PP-PI","EXACT","—","table_fields old_union=6 neo=6; documented by 2 dictionary rows, merged by mergedFields(); all stated attributes agree"
"AFWI.RUECK","AFWI","RUECK","PM#7:key=PK/FK|dt=|len=","key=PK/FK|dt=|len=|mods=PM","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=4 neo=4; key=""PK/FK"": OLD /object/AFWI lists it as PK, /neo/tables/AFWI lists it as PK+FK, /neo/object/AFWI lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"AFWI.RMZHL","AFWI","RMZHL","PM#7:key=PK|dt=|len=","key=PK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=4 neo=4"
"AFWI.MBLNR","AFWI","MBLNR","PM#7:key=FK|dt=|len=","key=FK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=4 neo=4"
"AFWI.MATNR","AFWI","MATNR","PM#7:key=FK|dt=|len=","key=FK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=4 neo=4"
"AUFK.AUFNR","AUFK","AUFNR","PM#7:key=PK|dt=|len= ;; PM#12:key=PK|dt=|len= ;; PP-PI#6:key=PK|dt=CHAR|len=12","key=PK|dt=CHAR|len=12|mods=PM+PP-PI","EXACT","—","table_fields old_union=8 neo=6; documented by 3 dictionary rows, merged by mergedFields(); all stated attributes agree"
"AUFK.AUART","AUFK","AUART","PM#7:key=FK|dt=|len= ;; PM#12:key=FK|dt=|len= ;; PP-PI#6:key=FK|dt=CHAR|len=4","key=FK|dt=CHAR|len=4|mods=PM+PP-PI","EXACT","—","table_fields old_union=8 neo=6; documented by 3 dictionary rows, merged by mergedFields(); all stated attributes agree"
"AUFK.KTEXT","AUFK","KTEXT","PM#7:key=-|dt=|len= ;; PP-PI#6:key=-|dt=CHAR|len=40","key=-|dt=CHAR|len=40|mods=PM+PP-PI","EXACT","—","table_fields old_union=8 neo=6; documented by 2 dictionary rows, merged by mergedFields(); all stated attributes agree"
"AUFK.OBJNR","AUFK","OBJNR","PM#7:key=FK|dt=|len= ;; PM#12:key=FK|dt=|len= ;; PP-PI#6:key=FK|dt=CHAR|len=22","key=FK|dt=CHAR|len=22|mods=PM+PP-PI","EXACT","—","table_fields old_union=8 neo=6; documented by 3 dictionary rows, merged by mergedFields(); all stated attributes agree"
"AUFK.KOSTV","AUFK","KOSTV","PM#7:key=FK|dt=|len=","key=FK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=8 neo=6"
"AUFK.IDAT2","AUFK","IDAT2","PM#12:key=-|dt=|len=","—","MISSING","DROPPED_BY_MODULETABLES_DEDUPE","table_fields old_union=8 neo=6; field IS in data/sapData.ts but absent from mergedFields() in the NEO layer, because lib/module-portal.moduleTables() dedupes by tableName WITHIN a module and drops the second topic's row. Not reachable on /neo/tables/AUFK/ nor /neo/object/AUFK/. OLD /object/AUFK/ also misses it (ALL_TABLES.find takes the first row), so this is a dataset-vs-UI gap on BOTH sides, not a NEO-only regression."
"AUFK.ERDAT","AUFK","ERDAT","PM#12:key=-|dt=|len=","—","MISSING","DROPPED_BY_MODULETABLES_DEDUPE","table_fields old_union=8 neo=6; field IS in data/sapData.ts but absent from mergedFields() in the NEO layer, because lib/module-portal.moduleTables() dedupes by tableName WITHIN a module and drops the second topic's row. Not reachable on /neo/tables/AUFK/ nor /neo/object/AUFK/. OLD /object/AUFK/ also misses it (ALL_TABLES.find takes the first row), so this is a dataset-vs-UI gap on BOTH sides, not a NEO-only regression."
"AUFK.WERKS","AUFK","WERKS","PP-PI#6:key=FK|dt=CHAR|len=4","key=FK|dt=CHAR|len=4|mods=PP-PI","EXACT","—","table_fields old_union=8 neo=6"
"BUT000.PARTNER","BUT000","PARTNER","PM#9:key=PK|dt=|len= ;; PP-PI#7:key=PK|dt=CHAR|len=10","key=PK|dt=CHAR|len=10|mods=PM+PP-PI","EXACT","—","table_fields old_union=5 neo=5; documented by 2 dictionary rows, merged by mergedFields(); all stated attributes agree"
"BUT000.TYPE","BUT000","TYPE","PM#9:key=-|dt=|len= ;; PP-PI#7:key=-|dt=CHAR|len=1","key=-|dt=CHAR|len=1|mods=PM+PP-PI","EXACT","—","table_fields old_union=5 neo=5; documented by 2 dictionary rows, merged by mergedFields(); all stated attributes agree"
"BUT000.BU_GROUP","BUT000","BU_GROUP","PM#9:key=-|dt=|len= ;; PP-PI#7:key=FK|dt=CHAR|len=4","key=FK|dt=CHAR|len=4|mods=PM+PP-PI","TRANSFORMED","MERGED_ATTR_OVERWRITE","table_fields old_union=5 neo=5; documented by 2 dictionary rows, merged by mergedFields(); key stated -/FK -> NEO kept ""FK"""
"BUT000.BPKIND","BUT000","BPKIND","PM#9:key=-|dt=|len= ;; PP-PI#7:key=-|dt=CHAR|len=4","key=-|dt=CHAR|len=4|mods=PM+PP-PI","EXACT","—","table_fields old_union=5 neo=5; documented by 2 dictionary rows, merged by mergedFields(); all stated attributes agree"
"BUT000.NAME_ORG1","BUT000","NAME_ORG1","PM#9:key=-|dt=|len= ;; PP-PI#7:key=-|dt=CHAR|len=40","key=-|dt=CHAR|len=40|mods=PM+PP-PI","EXACT","—","table_fields old_union=5 neo=5; documented by 2 dictionary rows, merged by mergedFields(); all stated attributes agree"
"COBRA.OBJNR","COBRA","OBJNR","PM#10:key=PK/FK|dt=|len=","key=PK/FK|dt=|len=|mods=PM","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=4 neo=4; key=""PK/FK"": OLD /object/COBRA lists it as PK, /neo/tables/COBRA lists it as PK+FK, /neo/object/COBRA lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"COBRA.BUREG","COBRA","BUREG","PM#10:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=4 neo=4"
"COBRA.PERBZ","COBRA","PERBZ","PM#10:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=4 neo=4"
"COBRA.ERLKZ","COBRA","ERLKZ","PM#10:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=4 neo=4"
"COBRB.OBJNR","COBRB","OBJNR","PM#10:key=PK/FK|dt=|len=","key=PK/FK|dt=|len=|mods=PM","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=5 neo=5; key=""PK/FK"": OLD /object/COBRB lists it as PK, /neo/tables/COBRB lists it as PK+FK, /neo/object/COBRB lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"COBRB.BUREG","COBRB","BUREG","PM#10:key=PK|dt=|len=","key=PK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"COBRB.KONTY","COBRB","KONTY","PM#10:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"COBRB.EMPGE","COBRB","EMPGE","PM#10:key=FK|dt=|len=","key=FK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"COBRB.PROZS","COBRB","PROZS","PM#10:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"COSP.OBJNR","COSP","OBJNR","PM#10:key=PK/FK|dt=|len=","key=PK/FK|dt=|len=|mods=PM","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=5 neo=5; key=""PK/FK"": OLD /object/COSP lists it as PK, /neo/tables/COSP lists it as PK+FK, /neo/object/COSP lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"COSP.KSTAR","COSP","KSTAR","PM#10:key=PK/FK|dt=|len=","key=PK/FK|dt=|len=|mods=PM","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=5 neo=5; key=""PK/FK"": OLD /object/COSP lists it as PK, /neo/tables/COSP lists it as PK+FK, /neo/object/COSP lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"COSP.WRTTP","COSP","WRTTP","PM#10:key=PK|dt=|len=","key=PK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"COSP.GJAHR","COSP","GJAHR","PM#10:key=PK|dt=|len=","key=PK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"COSP.WTG001","COSP","WTG001","PM#10:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"COSS.OBJNR","COSS","OBJNR","PM#10:key=PK/FK|dt=|len=","key=PK/FK|dt=|len=|mods=PM","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=5 neo=5; key=""PK/FK"": OLD /object/COSS lists it as PK, /neo/tables/COSS lists it as PK+FK, /neo/object/COSS lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"COSS.KSTAR","COSS","KSTAR","PM#10:key=PK/FK|dt=|len=","key=PK/FK|dt=|len=|mods=PM","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=5 neo=5; key=""PK/FK"": OLD /object/COSS lists it as PK, /neo/tables/COSS lists it as PK+FK, /neo/object/COSS lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"COSS.WRTTP","COSS","WRTTP","PM#10:key=PK|dt=|len=","key=PK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"COSS.GJAHR","COSS","GJAHR","PM#10:key=PK|dt=|len=","key=PK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"COSS.PARGB","COSS","PARGB","PM#10:key=FK|dt=|len=","key=FK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"CRCA.OBJTY","CRCA","OBJTY","PP-PI#5:key=PK/FK|dt=CHAR|len=2","key=PK/FK|dt=CHAR|len=2|mods=PP-PI","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=4 neo=4; key=""PK/FK"": OLD /object/CRCA lists it as PK, /neo/tables/CRCA lists it as PK+FK, /neo/object/CRCA lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"CRCA.OBJID","CRCA","OBJID","PP-PI#5:key=PK/FK|dt=NUMC|len=8","key=PK/FK|dt=NUMC|len=8|mods=PP-PI","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=4 neo=4; key=""PK/FK"": OLD /object/CRCA lists it as PK, /neo/tables/CRCA lists it as PK+FK, /neo/object/CRCA lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"CRCA.CAPID","CRCA","CAPID","PP-PI#5:key=PK|dt=CHAR|len=3","key=PK|dt=CHAR|len=3|mods=PP-PI","EXACT","—","table_fields old_union=4 neo=4"
"CRCA.KAPID","CRCA","KAPID","PP-PI#5:key=FK|dt=NUMC|len=8","key=FK|dt=NUMC|len=8|mods=PP-PI","EXACT","—","table_fields old_union=4 neo=4"
"CRCO.OBJTY","CRCO","OBJTY","PP-PI#5:key=PK/FK|dt=CHAR|len=2","key=PK/FK|dt=CHAR|len=2|mods=PP-PI","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=6 neo=6; key=""PK/FK"": OLD /object/CRCO lists it as PK, /neo/tables/CRCO lists it as PK+FK, /neo/object/CRCO lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"CRCO.OBJID","CRCO","OBJID","PP-PI#5:key=PK/FK|dt=NUMC|len=8","key=PK/FK|dt=NUMC|len=8|mods=PP-PI","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=6 neo=6; key=""PK/FK"": OLD /object/CRCO lists it as PK, /neo/tables/CRCO lists it as PK+FK, /neo/object/CRCO lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"CRCO.LANUM","CRCO","LANUM","PP-PI#5:key=PK|dt=NUMC|len=3","key=PK|dt=NUMC|len=3|mods=PP-PI","EXACT","—","table_fields old_union=6 neo=6"
"CRCO.KOKRS","CRCO","KOKRS","PP-PI#5:key=FK|dt=CHAR|len=4","key=FK|dt=CHAR|len=4|mods=PP-PI","EXACT","—","table_fields old_union=6 neo=6"
"CRCO.KOSTL","CRCO","KOSTL","PP-PI#5:key=FK|dt=CHAR|len=10","key=FK|dt=CHAR|len=10|mods=PP-PI","EXACT","—","table_fields old_union=6 neo=6"
"CRCO.LSTAR","CRCO","LSTAR","PP-PI#5:key=FK|dt=CHAR|len=6","key=FK|dt=CHAR|len=6|mods=PP-PI","EXACT","—","table_fields old_union=6 neo=6"
"CRFH.OBJTY","CRFH","OBJTY","PP-PI#5:key=PK|dt=CHAR|len=2","key=PK|dt=CHAR|len=2|mods=PP-PI","EXACT","—","table_fields old_union=4 neo=4"
"CRFH.OBJID","CRFH","OBJID","PP-PI#5:key=PK|dt=NUMC|len=8","key=PK|dt=NUMC|len=8|mods=PP-PI","EXACT","—","table_fields old_union=4 neo=4"
"CRFH.FHMNR","CRFH","FHMNR","PP-PI#5:key=-|dt=CHAR|len=18","key=-|dt=CHAR|len=18|mods=PP-PI","EXACT","—","table_fields old_union=4 neo=4"
"CRFH.FHMART","CRFH","FHMART","PP-PI#5:key=-|dt=CHAR|len=1","key=-|dt=CHAR|len=1|mods=PP-PI","EXACT","—","table_fields old_union=4 neo=4"
"CRHD.OBJID","CRHD","OBJID","PM#1:key=PK|dt=|len= ;; PP-PI#5:key=PK|dt=NUMC|len=8","key=PK|dt=NUMC|len=8|mods=PM+PP-PI","EXACT","—","table_fields old_union=7 neo=7; documented by 2 dictionary rows, merged by mergedFields(); all stated attributes agree"
"CRHD.ARBPL","CRHD","ARBPL","PM#1:key=-|dt=|len= ;; PP-PI#5:key=-|dt=CHAR|len=8","key=-|dt=CHAR|len=8|mods=PM+PP-PI","EXACT","—","table_fields old_union=7 neo=7; documented by 2 dictionary rows, merged by mergedFields(); all stated attributes agree"
"CRHD.OBJTY","CRHD","OBJTY","PM#1:key=PK|dt=|len= ;; PP-PI#5:key=PK|dt=CHAR|len=2","key=PK|dt=CHAR|len=2|mods=PM+PP-PI","EXACT","—","table_fields old_union=7 neo=7; documented by 2 dictionary rows, merged by mergedFields(); all stated attributes agree"
"CRHD.WERKS","CRHD","WERKS","PM#1:key=FK|dt=|len= ;; PP-PI#5:key=FK|dt=CHAR|len=4","key=FK|dt=CHAR|len=4|mods=PM+PP-PI","EXACT","—","table_fields old_union=7 neo=7; documented by 2 dictionary rows, merged by mergedFields(); all stated attributes agree"
"CRHD.VERWE","CRHD","VERWE","PM#1:key=-|dt=|len= ;; PP-PI#5:key=FK|dt=CHAR|len=4","key=FK|dt=CHAR|len=4|mods=PM+PP-PI","TRANSFORMED","MERGED_ATTR_OVERWRITE","table_fields old_union=7 neo=7; documented by 2 dictionary rows, merged by mergedFields(); key stated -/FK -> NEO kept ""FK"""
"CRHD.VERAN","CRHD","VERAN","PM#1:key=-|dt=|len= ;; PP-PI#5:key=-|dt=CHAR|len=3","key=-|dt=CHAR|len=3|mods=PM+PP-PI","EXACT","—","table_fields old_union=7 neo=7; documented by 2 dictionary rows, merged by mergedFields(); all stated attributes agree"
"CRHD.PLANV","CRHD","PLANV","PP-PI#5:key=-|dt=CHAR|len=3","key=-|dt=CHAR|len=3|mods=PP-PI","EXACT","—","table_fields old_union=7 neo=7"
"CRTX.OBJID","CRTX","OBJID","PM#1:key=PK/FK|dt=|len= ;; PP-PI#5:key=PK/FK|dt=NUMC|len=8","key=PK/FK|dt=NUMC|len=8|mods=PM+PP-PI","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=4 neo=4; documented by 2 dictionary rows, merged by mergedFields(); all stated attributes agree; key=""PK/FK"": OLD /object/CRTX lists it as PK, /neo/tables/CRTX lists it as PK+FK, /neo/object/CRTX lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"CRTX.SPRAS","CRTX","SPRAS","PM#1:key=PK|dt=|len= ;; PP-PI#5:key=PK|dt=LANG|len=1","key=PK|dt=LANG|len=1|mods=PM+PP-PI","EXACT","—","table_fields old_union=4 neo=4; documented by 2 dictionary rows, merged by mergedFields(); all stated attributes agree"
"CRTX.KTEXT","CRTX","KTEXT","PM#1:key=-|dt=|len= ;; PP-PI#5:key=-|dt=CHAR|len=40","key=-|dt=CHAR|len=40|mods=PM+PP-PI","EXACT","—","table_fields old_union=4 neo=4; documented by 2 dictionary rows, merged by mergedFields(); all stated attributes agree"
